title,bottle_size,price,base_price,offers_count,image_url,product_url,description
Creed Aventus Eau de Parfum (100ml),100 ml,"248,00 €","2.480,00 €/Liter",26 Angebote,https://cdn.idealo.com/images/product/5531095/de_DE/0/mittelgross.jpg,https://www.idealo.de/preisvergleich/OffersOfProduct/5531095_-aventus-eau-de-parfum-100ml-creed.html,"Nischenduft für Männer, Chypre"
Creed Aventus Eau de Parfum,,"165,00 €",,46 Angebote,https://cdn.idealo.com/images/product/3301680/de_DE/0/mittelgross.jpg,https://www.idealo.de/preisvergleich/OffersOfProduct/3301680_-aventus-eau-de-parfum-creed.html,"Nischenduft für Männer, Chypre"
Creed Aventus Eau de Parfum (50ml),50 ml,"178,50 €","3.570,00 €/Liter",18 Angebote,https://cdn.idealo.com/images/product/5472459/de_DE/0/mittelgross.jpg,https://www.idealo.de/preisvergleich/OffersOfProduct/5472459_-aventus-eau-de-parfum-50ml-creed.html,"Nischenduft für Männer, Chypre"
Creed Aventus Cologne Eau de Parfum (100ml),100 ml,"195,57 €","1.955,70 €/Liter",17 Angebote,https://cdn.idealo.com/images/product/6584184/de_DE/0/mittelgross.jpg,https://www.idealo.de/preisvergleich/OffersOfProduct/6584184_-aventus-cologne-eau-de-parfum-100ml-creed.html,"Nischenduft für Männer, aromatisch, verführerisch"
Creed Aventus For Her Eau de Parfum,,"125,00 €",,42 Angebote,https://cdn.idealo.com/images/product/5232410/de_DE/0/mittelgross.jpg,https://www.idealo.de/preisvergleich/OffersOfProduct/5232410_-aventus-for-her-eau-de-parfum-creed.html,"Eau de Parfum für Frauen (EdP), pudrig, Nischendüfte für Frauen"
