perfume_name,brand,size,price_results,min_price,max_price,avg_price,price_per_ml
Light Blue,Dolce & Gabbana,100ml,"[2.0, 10.0, 586.76, 2.0, 1.0, 5.0, 3.0, 2.0, 4.0, 1.0, 409.5, 1.0, 149.37, 30.0, 25.0, 30.0, 26.95, 695.0, 27.95, 19.95, 21.95, 586.76, 56.95, 72.95, 30.95, 169.95, 665.0, 22.95, 60.0, 27.95, 56.95, 72.95, 36.45, 41.95, 556.25, 31.95, 452.27, 33.95, 40.95, 409.5, 30.95, 11.95, 15.99, 149.37, 29.95, 117.0, 117.0, 30.0, 240.0, 25.0, 35.0, 35.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 50.0, 100.0, 80.0, 1.0]",1.0,695.0,103.6656923076923,1.036656923076923
Sauvage,Dior,3.4 oz,"[35.0, 35.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 50.0, 100.0, 157.0, 1.0, 14.99, 14.99, 8.82, 8.82, 44.86, 44.86, 16.02, 16.02, 23.8, 23.8, 23.8, 23.8, 18.99, 18.99, 18.99, 18.99, 19.99, 19.99, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 12.99, 12.99, 22.99, 22.99, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 23.8, 18.99, 18.99, 18.99, 18.99, 19.99, 19.99, 23.8, 23.8, 23.8, 23.8, 14.99, 14.99, 8.82, 8.82, 19.97, 19.97, 11.35, 11.35, 25.8, 25.8, 25.8, 25.8, 136.0, 14.99, 8.82, 109.0, 44.86, 16.02, 50.0, 23.8, 23.8, 18.99, 18.99, 19.99, 100.0, 23.8, 23.8, 104.0, 23.8, 23.8, 12.99, 22.99, 50.0, 23.8, 23.8, 104.0, 23.8, 23.8, 18.99, 18.99, 19.99, 68.0, 23.8, 23.8, 136.0, 14.99, 8.82, 86.0, 19.97, 11.35, 93.0, 25.8, 25.8, 35.0, 35.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 50.0, 100.0, 130.0, 1.0, 2.0, 10.0, 586.76, 2.0, 1.0, 5.0, 3.0, 2.0, 4.0, 1.0, 409.5, 1.0, 149.37, 30.0, 25.0, 30.0, 26.95, 27.95, 19.95, 21.95, 586.76, 56.95, 72.95, 30.95, 169.95, 22.95, 60.0, 27.95, 56.95, 72.95, 36.45, 41.95, 556.25, 31.95, 452.27, 33.95, 40.95, 409.5, 30.95, 11.95, 15.99, 149.37, 29.95, 193.0, 100.0, 10.0, 50.0, 100.0, 299.0]",1.0,586.76,50.78938888888889,0.5051760417840905
Black Opium,Yves Saint Laurent,50ml,"[2.0, 10.0, 586.76, 2.0, 1.0, 5.0, 3.0, 2.0, 4.0, 1.0, 409.5, 1.0, 149.37, 30.0, 25.0, 30.0, 26.95, 695.0, 27.95, 19.95, 21.95, 586.76, 56.95, 72.95, 30.95, 169.95, 665.0, 22.95, 60.0, 27.95, 56.95, 72.95, 958.44, 36.45, 41.95, 556.25, 31.95, 452.27, 33.95, 40.95, 409.5, 30.95, 11.95, 15.99, 149.37, 29.95, 35.0, 71.0, 93.0, 93.0, 35.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 50.0, 100.0, 165.0, 1.0]",1.0,958.44,117.33921875,2.346784375
Coco Mademoiselle,Chanel,1.7 fl oz,"[35.0, 35.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 50.0, 100.0, 143.0, 1.0, 84.12, 89.99, 88.76, 75.01, 85.84, 102.94]",1.0,143.0,51.46,1.023692534166186
