,brand,name,price_100ml,price_50ml,price_150ml,price_125ml,price_75ml,price_200ml,price_30ml,price_10ml,price_250ml,price_60ml,price_90ml,price_15ml,price_70ml,price_35ml,price_33ml,price_80ml,price_180ml,price_40ml,price_5ml,price_105ml,price_18ml,price_300ml,price_20ml,price_120ml,price_25ml,price_140ml,price_400ml,price_1000ml,price_175ml,price_500ml,price_800ml,price_8ml,price_110ml,price_16ml,price_55ml,price_240ml,price_93ml,price_225ml,price_45ml,price_160ml,price_65ml,price_85ml,price_3ml,price_11ml,price_750ml,price_88ml,price_118ml,price_59ml,price_6ml,price_67ml,price_170ml,price_4ml,price_115ml,price_27ml,price_12ml,price_290ml,price_130ml,price_95ml,price_236ml,price_220ml,price_89ml,price_7ml,price_350ml,price_14ml,price_113ml,price_135ml,price_28ml,price_96ml,price_87ml,price_92ml,price_97ml,price_3.7ml,price_600ml,price_24ml,price_245ml,price_44ml,price_9ml,price_74ml,price_32ml,price_2ml,price_450ml,price_700ml,price_78ml,price_177ml,price_434ml,price_29ml,price_194ml,price_490ml,price_945ml,price_230ml,price_385ml,price_625ml,price_320ml,price_480ml,price_68ml,price_330ml,price_235ml,price_355ml,price_57ml
617,Yves Saint Laurent,Opium pour Homme Yves Saint Laurent 1995 Eau de Parfum,"75,93 €","189,90 €",,,,,"129,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Rabanne,Paco Rabanne pour Homme Rabanne 1973 Eau de Toilette,"26,51 €","49,95 €",,,,"56,19 €","49,51 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Prada,Infusion d'Homme Prada 2008 Eau de Toilette,"469,00 €","55,17 €","87,43 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Editions de Parfums Frdric Malle,L'Eau d'Hiver,"259,25 €","187,00 €",,,,,,"55,25 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Dolce  Gabbana,K Dolce & Gabbana 2019 Eau de Toilette,"59,96 €","40,91 €","60,50 €",,,"66,96 €",,"21,86 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Nicola  Parfums de Nicola,New York Intense,"211,88 €",,,,,,,,,"34,90 €",,,,,,,,"29,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,XerJoff,Casamorati - Mefisto Gentiluomo,"150,61 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,NIVEA,Nivea,"34,93 €",,,,,,"14,99 €",,,,,,,,,,,"13,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Acqua di Parma,Colonia Oud Colonia Intensa Oud Acqua di Parma 2012 Eau de Cologne Concentrée,"139,65 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Giorgio Armani,Acqua di Giò pour Homme Giorgio Armani 2022 Eau de Parfum,"75,37 €","53,41 €",,,,,"46,33 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Narciso Rodriguez,Narciso Narciso Rodriguez 2018 Eau de Parfum Rouge,"67,30 €","76,51 €",,,,,,,,,"103,00 €",,,,,,,,,,,,"36,49 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Houbigant,Fougère Royale Houbigant 2010 Eau de Parfum,"124,88 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Profumum Roma,Dulcis in Fundo,"217,56 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Le Labo,AnOther 13 Le Labo 2010 Eau de Parfum,"295,00 €","205,00 €",,,,,,,,,,"90,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Hugo Boss,The Scent for Her Hugo Boss 2016 Eau de Parfum,"59,63 €","43,85 €",,,,,"40,22 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Maison Francis Kurkdjian,Aqua Universalis Maison Francis Kurkdjian 2009 Eau de Toilette,,,,,,"299,20 €",,,,,,,"152,96 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Chanel,Chance Eau Tendre Chanel 2019 Eau de Parfum,"131,55 €","102,01 €","154,70 €",,,,,,,,,,,"66,30 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Tesori dOriente,Byzantium,"3,81 €",,,,,,,,,,,,,,,,,,,,,"5,41 €",,,,,,,,"4,20 €",,,,,,,,,,,,,,,"4,69 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Dior,Poison Girl Dior 2016 Eau de Parfum,"99,00 €","88,45 €",,,,,"59,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Ormonde Jayne,Ormonde Man Ormonde Jayne 2004 Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,67 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Cyrus,Writer,"21,24 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Boucheron,Jaïpur Homme Boucheron 1998 Eau de Parfum,"27,58 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Joop,Joop! Jump Joop! 2005 Eau de Toilette,"17,89 €",,,,,"25,50 €","16,81 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Comme des Garons,Floriental,"119,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Pana Dora,Imperial Wood,"214,20 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Dolce  Gabbana,Light Blue pour Homme Dolce & Gabbana 2007 Eau de Toilette,"49,83 €",,,"50,66 €","34,74 €","63,70 €",,,,,,,,,,,,"28,71 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Tom Ford,Velvet Orchid Tom Ford 2014 Eau de Parfum,"114,34 €","85,98 €",,,,,"71,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Mancera,Intense Cedrat Boise,,,,,,,,,,"87,00 €",,,,,,,,,,,,,,"87,98 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Dolce  Gabbana,Dolce & Gabbana pour Homme Dolce & Gabbana 2012 Eau de Toilette,"49,48 €",,"79,00 €","51,74 €","35,01 €","62,64 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Rabanne,1 Million Parfum,"62,95 €",,,,,"81,61 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Ligne St Barth,Vanille West Indies,,"101,60 €",,"30,80 €",,"38,35 €",,,,,,,,,,,,,,,,,,,"5,79 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Gucci,Guilty Elixir de Parfum pour Homme,,,,,,,,,,"104,60 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Le Labo,Thé Noir 29 Le Labo 2015 Eau de Parfum,"149,00 €","205,00 €",,,,,,,,,,"90,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Giorgio Armani,Armani Code Giorgio Armani 2021 Eau de Parfum,,,,"69,92 €","59,83 €",,"103,20 €",,,"119,51 €",,,,,,,,,,,,,,,,,,,,,,,"219,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Clinique,Aromatics Elixir Clinique 1971 Perfume,"27,63 €","52,25 €",,,,,,"22,74 €",,,,,,,,,,,,,,,,,"14,59 €",,,,,,,,,,,,,,"19,19 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Jovoy,Psychédélique,"144,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Lancme,La Nuit Trésor à la Folie,,"169,90 €",,,"189,85 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Al Haramain,Amber Oud Gold Edition,"45,43 €",,,,,"62,80 €",,,,"38,52 €",,,,,,,,,,,,,,"45,89 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Amouage,Epic Woman Amouage 2009 Eau de Parfum,"251,07 €","118,05 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Vivienne Westwood,Boudoir Vivienne Westwood 1998 Eau de Parfum,,"226,90 €",,,,,"309,78 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Parfums de Marly,Habdan,,,,"228,95 €","188,98 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Comme des Garons,Comme des Garçons 2 Man,"109,99 €","67,50 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Cartier,Baiser Volé Cartier 2011 Eau de Parfum,"87,99 €","66,85 €",,,,,"61,94 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Marc Jacobs,Decadence,"244,99 €","149,90 €",,,,,"189,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Hugo Boss,Boss Alive Hugo Boss 2020 Eau de Parfum,,"45,72 €",,,,,"27,62 €",,,,,,,,,"58,59 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Rituals,Oriental Essence - Roi d'Orient,,"47,60 €",,,,,,,,,,"17,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Parfums de Marly,Cassili,,,,,"149,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Lancme,Hypnôse Lancôme 2005 Eau de Parfum,,,,,"64,26 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Yves Saint Laurent,Y Le Parfum,"93,67 €",,,,,"151,99 €",,,,"62,55 €",,,,,,,,"76,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Giorgio Armani,Armani Privé - Rose d'Arabie,"288,96 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Ralph Lauren,Polo Ralph Lauren 1978 Eau de Toilette,,,,"74,90 €",,,,,,,,,,,,,,"46,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,80 €","49,59 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Kilian,Moonlight in Heaven,"204,80 €","171,99 €",,,,,"160,75 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Nasomatto,Blamage Nasomatto 2014 Extrait de Parfum,,,,,,,"108,49 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Amouage,Opus XIV - Royal Tobacco,"201,68 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Gucci,Rush,,"44,23 €",,,"41,72 €",,"48,85 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Valentino,Valentino Uomo Born In Roma Intense,"76,80 €","54,31 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Liquides Imaginaires,Liquide,"212,50 €","136,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Bvlgari,Aqva pour Homme Bvlgari 2005 Eau de Toilette,"101,20 €","76,08 €",,,,,"59,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Pierre Guillaume,4.1 Le Musc & La Peau,"165,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Giorgio Armani,Armani Privé - Oud Royal,"238,49 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Editions de Parfums Frdric Malle,Vétiver Extraordinaire,"259,25 €","155,90 €",,,,,,"55,25 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Escentric Molecules,Escentric 02,"109,90 €",,,,,,"75,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Yves Saint Laurent,Body Kouros Yves Saint Laurent 2000 Eau de Toilette,"169,11 €","56,16 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Byredo,Bibliothèque Byredo 2017 Eau de Parfum,"206,02 €","160,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Roja Parfums,Manhattan Roja Parfums 2022 Eau de Parfum,"228,39 €","272,40 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Azzaro,Wanted Azzaro 2016 Eau de Toilette,"56,59 €","35,58 €","138,95 €",,,,"33,48 €",,,,,,,,,,,,,,,,"40,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Creed,Sublime Vanille,"20,94 €","57,61 €",,,"315,00 €",,"46,79 €",,"886,99 €",,"69,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Coach,Coach for Men Coach 2017 Eau de Toilette,"41,02 €",,,,,"60,30 €",,,,"30,67 €",,,,,,,,"19,70 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Diptyque,Tam Dao Diptyque 2003 Eau de Toilette,"145,00 €","104,49 €",,,"159,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Comme des Garons,Series 3: Incense - Kyoto,,"89,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Roja Parfums,Sweetie Aoud,"580,00 €","299,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Davidoff,Cool Water Woman,"22,36 €",,,,,"42,49 €","13,93 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Byredo,Black Saffron Byredo 2012 Eau de Parfum,"172,00 €","137,43 €",,,"55,83 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Chanel,N°5 L'Eau Chanel 2016 Eau de Toilette,"124,58 €","117,99 €",,,,,,,,,,,,"71,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Creed,Erolfa,"219,00 €","152,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Laura Biagiotti,Roma Laura Biagiotti 1988 Eau de Toilette,"32,09 €","6,05 €",,,"25,51 €",,,,,,,,,,,,,,,,,,,,"17,16 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Diptyque,Orphéon Diptyque 2021 Eau de Parfum,"140,10 €","105,00 €",,,"170,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Kilian,Rolling in Love,"195,50 €","155,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,56 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Chlo,"Love, Chloé",,,,,"14,80 €",,"33,57 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Yves Saint Laurent,Libre Le Parfum,,"72,77 €",,,,,"49,90 €",,,,"99,85 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Creed,Aventus for Her,,,,,"194,00 €",,"125,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,L'Erbolario,Méharées,,"24,28 €",,,,,,,"9,99 €",,,,,,,,,,,,,"21,42 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Guerlain,Tobacco Honey,"90,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Perry Ellis,360° Red for Men,"28,60 €","47,95 €",,,,"40,94 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Nobile 1942,Il Capriccio del Maestro,,,,,"176,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Cerruti,1881 pour Femme Cerruti 1995 Eau de Toilette,"23,94 €","15,83 €",,,"14,35 €",,"16,81 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Herms,Bel Ami Hermès 1986 Eau de Toilette,"87,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Herms,Concentré d'Orange Verte,"70,54 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Prada,Luna Rossa Ocean Prada 2023 Eau de Parfum,"82,07 €","59,80 €","89,89 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Montale,Ristretto Intense Cafe,"98,89 €","68,40 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Tom Ford,Plum Japonais,"212,75 €","147,49 €","50,00 €",,"46,45 €",,"90,60 €","53,80 €","473,41 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Roja Parfums,Apex Roja Parfums 2022 Eau de Parfum,"207,48 €","272,40 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Bvlgari,Bvlgari Black,"75,27 €",,,,,,,,,"53,32 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Byredo,La Tulipe Byredo 2010 Eau de Parfum,"197,77 €","165,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
