,brand,name,price_100ml,price_50ml,price_150ml,price_125ml,price_75ml,price_200ml,price_30ml,price_10ml,price_250ml,price_60ml,price_90ml,price_15ml,price_70ml,price_35ml,price_33ml,price_80ml,price_180ml,price_40ml,price_5ml,price_105ml,price_18ml,price_300ml,price_20ml,price_120ml,price_25ml,price_140ml,price_400ml,price_1000ml,price_175ml,price_500ml,price_800ml,price_8ml,price_110ml,price_16ml,price_55ml,price_240ml,price_93ml,price_225ml,price_45ml,price_160ml,price_65ml,price_85ml,price_3ml,price_11ml,price_750ml,price_88ml,price_118ml,price_59ml,price_6ml,price_67ml,price_170ml,price_4ml,price_115ml,price_27ml,price_12ml,price_290ml,price_130ml,price_95ml,price_236ml,price_220ml,price_89ml,price_7ml,price_350ml,price_14ml,price_113ml,price_135ml,price_28ml,price_96ml,price_87ml,price_92ml,price_97ml,price_3.7ml,price_600ml,price_24ml,price_245ml,price_44ml,price_9ml,price_74ml,price_32ml,price_2ml,price_450ml,price_700ml,price_78ml,price_177ml,price_434ml,price_29ml,price_194ml,price_490ml,price_945ml,price_230ml,price_385ml,price_625ml,price_320ml,price_480ml,price_68ml,price_330ml,price_235ml,price_355ml,price_57ml
27,Versace,Versace pour Homme Dylan Blue Versace 2016 Eau de Toilette,"42,00 €","40,40 €",,,,"73,98 €","28,74 €",,,,,,,,,,,,"11,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,XerJoff,Torino21,"234,35 €","174,79 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Chanel,Allure Homme Sport Eau Extrême,"126,65 €","90,10 €","155,80 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tom Ford,Noir Extreme Tom Ford 2015 Eau de Parfum,"127,65 €","82,11 €","155,80 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Armaf,Club de Nuit Intense Man,,,"41,93 €",,,"42,89 €",,,,,,,,,,,,,,"23,69 €","34,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Davidoff,Cool Water Davidoff 1988 Eau de Toilette,,,,"25,44 €","19,49 €","34,72 €",,,,,,,,,,,,"16,83 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Parfums de Marly,Althaïr,,,,"220,00 €","185,07 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Initio,Side Effect,,"189,98 €",,,,,,,,,"218,68 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Giorgio Armani,Emporio Armani - Stronger with You Intensely,"68,31 €","49,42 €","81,50 €",,,,"39,60 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Lalique,Encre Noire Lalique 2006 Eau de Toilette,"20,31 €","18,77 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Hugo Boss,Boss Bottled Hugo Boss 1998 Eau de Toilette,"49,84 €","35,73 €",,,,"70,90 €","26,69 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Maison Margiela,By the Fireplace,"70,45 €",,,,,"20,06 €","43,63 €","29,70 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Joop,Joop! Homme Joop! 1989 Eau de Toilette,,,,"21,73 €","18,65 €","29,13 €","14,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tom Ford,Lost Cherry Tom Ford 2018 Eau de Parfum,"299,00 €","210,00 €",,,,,"135,96 €","60,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Yves Saint Laurent,Y Yves Saint Laurent 2018 Eau de Parfum,"71,99 €",,"77,78 €",,,"112,04 €",,,,"52,15 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tom Ford,Ombré Leather Tom Ford 2018 Eau de Parfum,"128,85 €","89,85 €","169,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Rabanne,1 Million Rabanne 2008 Eau de Toilette,"53,50 €","44,91 €",,,,"81,61 €",,,,,,"24,59 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tom Ford,Fucking Fabulous Fabulous Tom Ford 2017 Eau de Parfum,"304,90 €","202,70 €",,,,,"121,72 €","58,49 €","706,99 €",,,,,,,"24,60 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jean Paul Gaultier,Ultra Mâle,,,,"65,82 €","60,65 €","114,95 €",,,,,,,,,,,,"52,65 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Maison Francis Kurkdjian,Oud Satin Mood Maison Francis Kurkdjian 2015 Eau de Parfum,"335,00 €",,,,,,,,,,,,"204,81 €",,"195,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Guerlain,L'Homme Idéal Guerlain 2016 Eau de Parfum,"68,99 €","51,67 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Montale,Arabians Tonka,"127,00 €","99,99 €","59,50 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lattafa,Khamrah,"29,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Montblanc,Explorer,"41,17 €",,"15,12 €",,,"55,30 €","22,44 €",,,"31,63 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,XerJoff,Tony Iommi Monkey Special,,"174,90 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Nishane,Ani Nishane 2019 Extrait de Parfum,"156,00 €","103,59 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Parfums de Marly,Pegasus,,,,"174,79 €","143,18 €","249,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Prada,Luna Rossa Black,"83,16 €","55,30 €","72,98 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Creed,Virgin Island Water,"218,97 €","149,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nishane,Hacivat,"149,00 €","108,80 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Initio,Oud for Greatness Initio 2018 Eau de Parfum,,"215,90 €",,,,,,,,,"189,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
